food_id,name,calories,spicy,sweet,vegan,protein,carbs,fat,recipe
0,Grilled Chicken,410,0,0,1,5,3,5,Marinate chicken with spices and yogurt. Grill or cook until done. Serve with rice or naan.
1,Veg Salad,388,0,1,1,2,5,3,"Mix fresh veggies or greens with olive oil, lemon juice, and seasoning. Chill and serve."
2,Spicy Paneer,325,0,1,1,3,4,1,"Sauté paneer cubes with onions, tomatoes, and Indian spices. Garnish with coriander."
3,Fruit Bowl,173,0,0,0,2,2,5,Chop fresh fruits and mix with honey or yogurt. Serve chilled.
4,Butter Chicken,285,1,0,0,2,5,5,Marinate chicken with spices and yogurt. Grill or cook until done. Serve with rice or naan.
5,Mushroom Curry,245,0,1,1,2,2,3,"Cook the main ingredient with onions, tomatoes, and rich curry masala."
6,Pasta Alfredo,333,0,0,1,2,4,1,Cook pasta and toss with creamy Alfredo sauce and veggies or chicken.
7,Choco Cake,475,1,0,1,2,4,3,"Mix flour, sugar, eggs, and flavoring. Bake until golden and fluffy."
8,Tofu Stir Fry,430,0,1,1,4,3,3,Recipe not available for this item.
9,Tomato Soup,479,1,0,0,1,1,2,"Boil main ingredients with spices, blend, and simmer. Serve hot with croutons or bread."
10,Cheese Sandwich,464,1,0,0,4,3,3,Recipe not available for this item.
11,Green Smoothie,325,1,0,1,2,2,5,Blend fruits with yogurt or milk until smooth. Add honey to taste.
12,Lentil Soup,470,0,1,0,2,2,2,"Boil main ingredients with spices, blend, and simmer. Serve hot with croutons or bread."
13,Pancakes,167,0,0,1,4,3,3,"Mix flour, sugar, eggs, and flavoring. Bake until golden and fluffy."
14,Fried Rice,347,0,0,1,3,4,3,Cook rice with vegetables or meat and spices. Mix well and serve hot.
15,Veg Biryani,301,1,0,1,4,4,2,Cook rice with vegetables or meat and spices. Mix well and serve hot.
16,Mutton Curry,316,1,0,0,5,2,4,"Cook the main ingredient with onions, tomatoes, and rich curry masala."
17,Chicken Tikka,211,1,0,0,2,1,3,Marinate chicken with spices and yogurt. Grill or cook until done. Serve with rice or naan.
18,Dal Tadka,176,0,0,0,1,4,4,"Boil lentils/beans and cook with tomatoes, garlic, and spices. Serve with rice."
19,Sushi Rolls,383,0,1,1,5,1,3,Stuff tortilla with veggies or meat and sauces. Wrap and grill lightly.
20,Veggie Wrap,300,0,1,0,5,4,1,Stuff tortilla with veggies or meat and sauces. Wrap and grill lightly.
21,Cereal Bowl,462,0,0,1,1,3,4,Recipe not available for this item.
22,Omelette,278,1,1,0,1,5,3,"Beat eggs with onion, chili, salt. Fry until golden and fluffy."
23,Keto Salad,375,0,1,1,4,4,4,"Mix fresh veggies or greens with olive oil, lemon juice, and seasoning. Chill and serve."
24,Peanut Butter Toast,273,0,1,0,4,2,5,Recipe not available for this item.
25,Chocolate Muffin,376,1,0,1,5,1,1,"Mix flour, sugar, eggs, and flavoring. Bake until golden and fluffy."
26,Apple Pie,310,0,0,0,5,3,2,"Mix flour, sugar, eggs, and flavoring. Bake until golden and fluffy."
27,Gulab Jamun,364,0,1,0,2,2,5,Recipe not available for this item.
28,Rajma Chawal,313,0,1,0,5,1,1,"Boil lentils/beans and cook with tomatoes, garlic, and spices. Serve with rice."
29,Upma,269,0,0,1,4,5,5,"Prepare batter or mix, cook on pan or steam, and serve with chutney/sambar."
30,Idli Sambar,321,1,1,1,2,4,2,"Prepare batter or mix, cook on pan or steam, and serve with chutney/sambar."
31,Dosa,240,0,0,0,4,4,2,"Prepare batter or mix, cook on pan or steam, and serve with chutney/sambar."
32,Bhel Puri,263,1,0,0,3,1,5,Recipe not available for this item.
33,Rasam Rice,209,1,1,0,1,4,4,Recipe not available for this item.
34,Fish Curry,411,0,1,1,2,4,2,"Cook the main ingredient with onions, tomatoes, and rich curry masala."
35,Egg Curry,127,0,0,0,2,5,5,"Cook the main ingredient with onions, tomatoes, and rich curry masala."
36,Chana Masala,314,0,1,1,1,5,3,"Boil lentils/beans and cook with tomatoes, garlic, and spices. Serve with rice."
37,Veg Manchurian,262,0,1,0,1,3,2,Recipe not available for this item.
38,Spring Rolls,138,0,0,1,4,2,2,Stuff tortilla with veggies or meat and sauces. Wrap and grill lightly.
39,Hummus Pita,162,0,1,1,4,3,3,Blend chickpeas with tahini and olive oil. Serve with warm pita bread.
40,Paneer Wrap,279,1,0,0,3,5,5,"Sauté paneer cubes with onions, tomatoes, and Indian spices. Garnish with coriander."
41,Nachos,164,0,1,1,1,5,4,"Layer chips with cheese, beans, salsa, and jalapenos. Bake and serve."
42,Corn Soup,223,0,1,1,4,5,1,"Boil main ingredients with spices, blend, and simmer. Serve hot with croutons or bread."
43,Fruit Yogurt,500,1,0,1,2,4,4,Chop fresh fruits and mix with honey or yogurt. Serve chilled.
